Log created: 2021-12-20 08:12:13
Type: staging
[2021-12-20 08:16:04][notice]Copying theme files is completed.
[2021-12-20 08:16:07][notice]Start processing upload.
[2021-12-20 08:16:07][notice]Prepare to copy upload files.
[2021-12-20 08:16:07][notice]Retrieve the files required to copy.
[2021-12-20 08:16:07][notice]Create a cache file.
[2021-12-20 08:16:07][notice]Copying files starts from: 0
[2021-12-20 08:16:07][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/uploads to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/uploads
[2021-12-20 08:16:25][notice]The count of copied files: 500
[2021-12-20 08:16:25][notice]The next copying files starts from:500
[2021-12-20 08:16:47][notice]The count of copied files: 500
[2021-12-20 08:16:47][notice]The next copying files starts from:1000
[2021-12-20 08:17:09][notice]The count of copied files: 500
[2021-12-20 08:17:09][notice]The next copying files starts from:1500
[2021-12-20 08:17:32][notice]The count of copied files: 500
[2021-12-20 08:17:32][notice]The next copying files starts from:2000
[2021-12-20 08:17:48][notice]The count of copied files: 500
[2021-12-20 08:17:48][notice]The next copying files starts from:2500
[2021-12-20 08:18:04][notice]The count of copied files: 500
[2021-12-20 08:18:04][notice]The next copying files starts from:3000
[2021-12-20 08:18:30][notice]The count of copied files: 500
[2021-12-20 08:18:30][notice]The next copying files starts from:3500
[2021-12-20 08:18:54][notice]The count of copied files: 500
[2021-12-20 08:18:54][notice]The next copying files starts from:4000
[2021-12-20 08:19:12][notice]The count of copied files: 500
[2021-12-20 08:19:12][notice]The next copying files starts from:4500
[2021-12-20 08:19:33][notice]The count of copied files: 500
[2021-12-20 08:19:33][notice]The next copying files starts from:5000
[2021-12-20 08:19:49][notice]The count of copied files: 500
[2021-12-20 08:19:49][notice]The next copying files starts from:5500
[2021-12-20 08:20:07][notice]The count of copied files: 500
[2021-12-20 08:20:07][notice]The next copying files starts from:6000
[2021-12-20 08:20:23][notice]The count of copied files: 500
[2021-12-20 08:20:23][notice]The next copying files starts from:6500
[2021-12-20 08:20:28][notice]Copying upload files is completed.
[2021-12-20 08:20:31][notice]Start processing db.
[2021-12-20 08:20:31][notice]Prepare to copy database.
[2021-12-20 08:20:31][notice]Retrieve the tables required to copy.
[2021-12-20 08:20:31][notice]Copying wp_actionscheduler_actions is completed.
[2021-12-20 08:20:35][notice]Start processing db.
[2021-12-20 08:20:35][notice]Prepare to copy database.
[2021-12-20 08:20:35][notice]Copying wp_actionscheduler_claims is completed.
[2021-12-20 08:20:39][notice]Start processing db.
[2021-12-20 08:20:39][notice]Prepare to copy database.
[2021-12-20 08:20:39][notice]Copying wp_actionscheduler_groups is completed.
[2021-12-20 08:20:43][notice]Start processing db.
[2021-12-20 08:20:43][notice]Prepare to copy database.
[2021-12-20 08:20:43][notice]Copying wp_actionscheduler_logs is completed.
[2021-12-20 08:20:46][notice]Start processing db.
[2021-12-20 08:20:46][notice]Prepare to copy database.
[2021-12-20 08:20:46][notice]Copying wp_aioseo_notifications is completed.
[2021-12-20 08:20:50][notice]Start processing db.
[2021-12-20 08:20:50][notice]Prepare to copy database.
[2021-12-20 08:20:50][notice]Copying wp_aioseo_posts is completed.
[2021-12-20 08:20:55][notice]Start processing db.
[2021-12-20 08:20:55][notice]Prepare to copy database.
[2021-12-20 08:20:55][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:55][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":10000,"finished":0}
[2021-12-20 08:20:55][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:55][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":20000,"finished":0}
[2021-12-20 08:20:55][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:55][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":30000,"finished":0}
[2021-12-20 08:20:55][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:55][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":40000,"finished":0}
[2021-12-20 08:20:56][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:56][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":50000,"finished":0}
[2021-12-20 08:20:56][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:56][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":60000,"finished":0}
[2021-12-20 08:20:56][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:56][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":70000,"finished":0}
[2021-12-20 08:20:56][notice]Copying 10000 queries is completed.
[2021-12-20 08:20:56][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":80000,"finished":0}
[2021-12-20 08:20:57][notice]Copying wp_avc_page_visit_history is completed.
[2021-12-20 08:21:01][notice]Start processing db.
[2021-12-20 08:21:01][notice]Prepare to copy database.
[2021-12-20 08:21:01][notice]Copying wp_chaty_contact_form_leads is completed.
[2021-12-20 08:21:05][notice]Start processing db.
[2021-12-20 08:21:05][notice]Prepare to copy database.
[2021-12-20 08:21:05][notice]Copying wp_commentmeta is completed.
[2021-12-20 08:21:09][notice]Start processing db.
[2021-12-20 08:21:09][notice]Prepare to copy database.
[2021-12-20 08:21:09][notice]Copying wp_comments is completed.
[2021-12-20 08:21:13][notice]Start processing db.
[2021-12-20 08:21:13][notice]Prepare to copy database.
[2021-12-20 08:21:13][notice]Copying wp_dokan_announcement is completed.
[2021-12-20 08:21:16][notice]Start processing db.
[2021-12-20 08:21:16][notice]Prepare to copy database.
[2021-12-20 08:21:17][notice]Copying wp_dokan_delivery_time is completed.
[2021-12-20 08:21:19][notice]Start processing db.
[2021-12-20 08:21:19][notice]Prepare to copy database.
[2021-12-20 08:21:19][notice]Copying wp_dokan_distance_rate_shipping is completed.
[2021-12-20 08:21:23][notice]Start processing db.
[2021-12-20 08:21:23][notice]Prepare to copy database.
[2021-12-20 08:21:23][notice]Copying wp_dokan_follow_store_followers is completed.
[2021-12-20 08:21:27][notice]Start processing db.
[2021-12-20 08:21:27][notice]Prepare to copy database.
[2021-12-20 08:21:28][notice]Copying wp_dokan_orders is completed.
[2021-12-20 08:21:31][notice]Start processing db.
[2021-12-20 08:21:31][notice]Prepare to copy database.
[2021-12-20 08:21:31][notice]Copying wp_dokan_product_map is completed.
[2021-12-20 08:21:34][notice]Start processing db.
[2021-12-20 08:21:34][notice]Prepare to copy database.
[2021-12-20 08:21:34][notice]Copying wp_dokan_refund is completed.
[2021-12-20 08:21:37][notice]Start processing db.
[2021-12-20 08:21:37][notice]Prepare to copy database.
[2021-12-20 08:21:37][notice]Copying wp_dokan_report_abuse_reports is completed.
[2021-12-20 08:21:41][notice]Start processing db.
[2021-12-20 08:21:41][notice]Prepare to copy database.
[2021-12-20 08:21:41][notice]Copying wp_dokan_rma_conversations is completed.
[2021-12-20 08:21:44][notice]Start processing db.
[2021-12-20 08:21:44][notice]Prepare to copy database.
[2021-12-20 08:21:44][notice]Copying wp_dokan_rma_request is completed.
[2021-12-20 08:21:48][notice]Start processing db.
[2021-12-20 08:21:48][notice]Prepare to copy database.
[2021-12-20 08:21:48][notice]Copying wp_dokan_rma_request_product is completed.
[2021-12-20 08:21:52][notice]Start processing db.
[2021-12-20 08:21:52][notice]Prepare to copy database.
[2021-12-20 08:21:52][notice]Copying wp_dokan_shipping_tracking is completed.
[2021-12-20 08:21:56][notice]Start processing db.
[2021-12-20 08:21:56][notice]Prepare to copy database.
[2021-12-20 08:21:56][notice]Copying wp_dokan_shipping_zone_locations is completed.
[2021-12-20 08:21:59][notice]Start processing db.
[2021-12-20 08:21:59][notice]Prepare to copy database.
[2021-12-20 08:21:59][notice]Copying wp_dokan_shipping_zone_methods is completed.
[2021-12-20 08:22:03][notice]Start processing db.
[2021-12-20 08:22:03][notice]Prepare to copy database.
[2021-12-20 08:22:03][notice]Copying wp_dokan_table_rate_shipping is completed.
[2021-12-20 08:22:08][notice]Start processing db.
[2021-12-20 08:22:08][notice]Prepare to copy database.
[2021-12-20 08:22:08][notice]Copying wp_dokan_vendor_balance is completed.
[2021-12-20 08:22:12][notice]Start processing db.
[2021-12-20 08:22:12][notice]Prepare to copy database.
[2021-12-20 08:22:12][notice]Copying wp_dokan_withdraw is completed.
[2021-12-20 08:22:15][notice]Start processing db.
[2021-12-20 08:22:15][notice]Prepare to copy database.
[2021-12-20 08:22:15][notice]Copying wp_duplicator_packages is completed.
[2021-12-20 08:22:19][notice]Start processing db.
[2021-12-20 08:22:19][notice]Prepare to copy database.
[2021-12-20 08:22:19][notice]Copying wp_gla_budget_recommendations is completed.
[2021-12-20 08:22:23][notice]Start processing db.
[2021-12-20 08:22:23][notice]Prepare to copy database.
[2021-12-20 08:22:23][notice]Copying wp_gla_merchant_issues is completed.
[2021-12-20 08:22:26][notice]Start processing db.
[2021-12-20 08:22:26][notice]Prepare to copy database.
[2021-12-20 08:22:26][notice]Copying wp_gla_shipping_rates is completed.
[2021-12-20 08:22:30][notice]Start processing db.
[2021-12-20 08:22:30][notice]Prepare to copy database.
[2021-12-20 08:22:30][notice]Copying wp_gla_shipping_times is completed.
[2021-12-20 08:22:34][notice]Start processing db.
[2021-12-20 08:22:34][notice]Prepare to copy database.
[2021-12-20 08:22:34][notice]Copying wp_links is completed.
[2021-12-20 08:22:38][notice]Start processing db.
[2021-12-20 08:22:38][notice]Prepare to copy database.
[2021-12-20 08:22:38][notice]Copying wp_mailchimp_carts is completed.
[2021-12-20 08:22:42][notice]Start processing db.
[2021-12-20 08:22:42][notice]Prepare to copy database.
[2021-12-20 08:22:42][notice]Copying wp_mailchimp_jobs is completed.
[2021-12-20 08:22:45][notice]Start processing db.
[2021-12-20 08:22:45][notice]Prepare to copy database.
[2021-12-20 08:22:45][notice]Copying wp_mailpoet_custom_fields is completed.
[2021-12-20 08:22:48][notice]Start processing db.
[2021-12-20 08:22:48][notice]Prepare to copy database.
[2021-12-20 08:22:48][notice]Copying wp_mailpoet_dynamic_segment_filters is completed.
[2021-12-20 08:22:51][notice]Start processing db.
[2021-12-20 08:22:51][notice]Prepare to copy database.
[2021-12-20 08:22:51][notice]Copying wp_mailpoet_feature_flags is completed.
[2021-12-20 08:22:55][notice]Start processing db.
[2021-12-20 08:22:55][notice]Prepare to copy database.
[2021-12-20 08:22:55][notice]Copying wp_mailpoet_forms is completed.
[2021-12-20 08:22:58][notice]Start processing db.
[2021-12-20 08:22:58][notice]Prepare to copy database.
[2021-12-20 08:22:58][notice]Copying wp_mailpoet_log is completed.
[2021-12-20 08:23:01][notice]Start processing db.
[2021-12-20 08:23:01][notice]Prepare to copy database.
[2021-12-20 08:23:02][notice]Copying wp_mailpoet_mapping_to_external_entities is completed.
[2021-12-20 08:23:04][notice]Start processing db.
[2021-12-20 08:23:04][notice]Prepare to copy database.
[2021-12-20 08:23:05][notice]Copying wp_mailpoet_newsletter_links is completed.
[2021-12-20 08:23:07][notice]Start processing db.
[2021-12-20 08:23:07][notice]Prepare to copy database.
[2021-12-20 08:23:07][notice]Copying wp_mailpoet_newsletter_option is completed.
[2021-12-20 08:23:10][notice]Start processing db.
[2021-12-20 08:23:10][notice]Prepare to copy database.
[2021-12-20 08:23:10][notice]Copying wp_mailpoet_newsletter_option_fields is completed.
[2021-12-20 08:23:13][notice]Start processing db.
[2021-12-20 08:23:13][notice]Prepare to copy database.
[2021-12-20 08:23:13][notice]Copying wp_mailpoet_newsletter_posts is completed.
[2021-12-20 08:23:16][notice]Start processing db.
[2021-12-20 08:23:16][notice]Prepare to copy database.
[2021-12-20 08:23:16][notice]Copying wp_mailpoet_newsletter_segment is completed.
[2021-12-20 08:23:19][notice]Start processing db.
[2021-12-20 08:23:19][notice]Prepare to copy database.
[2021-12-20 08:23:20][notice]Copying wp_mailpoet_newsletter_templates is completed.
[2021-12-20 08:23:23][notice]Start processing db.
[2021-12-20 08:23:23][notice]Prepare to copy database.
[2021-12-20 08:23:23][notice]Copying wp_mailpoet_newsletters is completed.
[2021-12-20 08:23:26][notice]Start processing db.
[2021-12-20 08:23:26][notice]Prepare to copy database.
[2021-12-20 08:23:26][notice]Copying wp_mailpoet_scheduled_task_subscribers is completed.
[2021-12-20 08:23:29][notice]Start processing db.
[2021-12-20 08:23:29][notice]Prepare to copy database.
[2021-12-20 08:23:30][notice]Copying wp_mailpoet_scheduled_tasks is completed.
[2021-12-20 08:23:32][notice]Start processing db.
[2021-12-20 08:23:32][notice]Prepare to copy database.
[2021-12-20 08:23:33][notice]Copying wp_mailpoet_segments is completed.
[2021-12-20 08:23:36][notice]Start processing db.
[2021-12-20 08:23:36][notice]Prepare to copy database.
[2021-12-20 08:23:36][notice]Copying wp_mailpoet_sending_queues is completed.
[2021-12-20 08:23:39][notice]Start processing db.
[2021-12-20 08:23:39][notice]Prepare to copy database.
[2021-12-20 08:23:39][notice]Copying wp_mailpoet_settings is completed.
[2021-12-20 08:23:42][notice]Start processing db.
[2021-12-20 08:23:42][notice]Prepare to copy database.
[2021-12-20 08:23:42][notice]Copying wp_mailpoet_statistics_clicks is completed.
[2021-12-20 08:23:45][notice]Start processing db.
[2021-12-20 08:23:45][notice]Prepare to copy database.
[2021-12-20 08:23:45][notice]Copying wp_mailpoet_statistics_forms is completed.
[2021-12-20 08:23:48][notice]Start processing db.
[2021-12-20 08:23:48][notice]Prepare to copy database.
[2021-12-20 08:23:48][notice]Copying wp_mailpoet_statistics_newsletters is completed.
[2021-12-20 08:23:52][notice]Start processing db.
[2021-12-20 08:23:52][notice]Prepare to copy database.
[2021-12-20 08:23:52][notice]Copying wp_mailpoet_statistics_opens is completed.
[2021-12-20 08:23:55][notice]Start processing db.
[2021-12-20 08:23:55][notice]Prepare to copy database.
[2021-12-20 08:23:55][notice]Copying wp_mailpoet_statistics_unsubscribes is completed.
[2021-12-20 08:23:58][notice]Start processing db.
[2021-12-20 08:23:58][notice]Prepare to copy database.
[2021-12-20 08:23:58][notice]Copying wp_mailpoet_statistics_woocommerce_purchases is completed.
[2021-12-20 08:24:01][notice]Start processing db.
[2021-12-20 08:24:01][notice]Prepare to copy database.
[2021-12-20 08:24:01][notice]Copying wp_mailpoet_stats_notifications is completed.
[2021-12-20 08:24:04][notice]Start processing db.
[2021-12-20 08:24:04][notice]Prepare to copy database.
[2021-12-20 08:24:04][notice]Copying wp_mailpoet_subscriber_custom_field is completed.
[2021-12-20 08:24:07][notice]Start processing db.
[2021-12-20 08:24:07][notice]Prepare to copy database.
[2021-12-20 08:24:08][notice]Copying wp_mailpoet_subscriber_ips is completed.
[2021-12-20 08:24:11][notice]Start processing db.
[2021-12-20 08:24:11][notice]Prepare to copy database.
[2021-12-20 08:24:11][notice]Copying wp_mailpoet_subscriber_segment is completed.
[2021-12-20 08:24:14][notice]Start processing db.
[2021-12-20 08:24:14][notice]Prepare to copy database.
[2021-12-20 08:24:14][notice]Copying wp_mailpoet_subscribers is completed.
[2021-12-20 08:24:17][notice]Start processing db.
[2021-12-20 08:24:17][notice]Prepare to copy database.
[2021-12-20 08:24:17][notice]Copying wp_mailpoet_user_agents is completed.
[2021-12-20 08:24:31][notice]Start processing db.
[2021-12-20 08:24:31][notice]Prepare to copy database.
[2021-12-20 08:24:32][notice]Copying wp_mailpoet_user_flags is completed.
[2021-12-20 08:24:35][notice]Start processing db.
[2021-12-20 08:24:35][notice]Prepare to copy database.
[2021-12-20 08:24:35][notice]Copying wp_options is completed.
[2021-12-20 08:24:39][notice]Start processing db.
[2021-12-20 08:24:39][notice]Prepare to copy database.
[2021-12-20 08:24:43][notice]Copying 10000 queries is completed.
[2021-12-20 08:24:43][notice]The next copying table info: {"name":"wp_postmeta","create":1,"start":10000,"finished":0}
[2021-12-20 08:24:44][notice]Copying 10000 queries is completed.
[2021-12-20 08:24:44][notice]The next copying table info: {"name":"wp_postmeta","create":1,"start":20000,"finished":0}
[2021-12-20 08:24:44][notice]Copying wp_postmeta is completed.
[2021-12-20 08:24:48][notice]Start processing db.
[2021-12-20 08:24:48][notice]Prepare to copy database.
[2021-12-20 08:24:48][notice]Copying wp_posts is completed.
[2021-12-20 08:24:57][notice]Start processing db.
[2021-12-20 08:24:57][notice]Prepare to copy database.
[2021-12-20 08:24:57][notice]Copying wp_pv_commission is completed.
[2021-12-20 08:25:04][notice]Start processing db.
[2021-12-20 08:25:04][notice]Prepare to copy database.
[2021-12-20 08:25:04][notice]Copying wp_rank_math_internal_links is completed.
[2021-12-20 08:25:08][notice]Start processing db.
[2021-12-20 08:25:08][notice]Prepare to copy database.
[2021-12-20 08:25:08][notice]Copying wp_rank_math_internal_meta is completed.
[2021-12-20 08:25:11][notice]Start processing db.
[2021-12-20 08:25:11][notice]Prepare to copy database.
[2021-12-20 08:25:11][notice]Copying wp_revslider_css is completed.
[2021-12-20 08:25:15][notice]Start processing db.
[2021-12-20 08:25:15][notice]Prepare to copy database.
[2021-12-20 08:25:16][notice]Copying wp_revslider_css_bkp is completed.
[2021-12-20 08:25:19][notice]Start processing db.
[2021-12-20 08:25:19][notice]Prepare to copy database.
[2021-12-20 08:25:20][notice]Copying wp_revslider_layer_animations is completed.
[2021-12-20 08:25:23][notice]Start processing db.
[2021-12-20 08:25:23][notice]Prepare to copy database.
[2021-12-20 08:25:23][notice]Copying wp_revslider_layer_animations_bkp is completed.
[2021-12-20 08:25:28][notice]Start processing db.
[2021-12-20 08:25:28][notice]Prepare to copy database.
[2021-12-20 08:25:28][notice]Copying wp_revslider_navigations is completed.
[2021-12-20 08:25:31][notice]Start processing db.
[2021-12-20 08:25:31][notice]Prepare to copy database.
[2021-12-20 08:25:31][notice]Copying wp_revslider_navigations_bkp is completed.
[2021-12-20 08:25:35][notice]Start processing db.
[2021-12-20 08:25:35][notice]Prepare to copy database.
