Log created: 2021-12-26 10:57:23
Type: staging
[2021-12-26 11:03:08][notice]Copying wp_mailchimp_jobs is completed.
[2021-12-26 11:03:12][notice]Start processing db.
[2021-12-26 11:03:12][notice]Prepare to copy database.
[2021-12-26 11:03:12][notice]Copying wp_mailpoet_custom_fields is completed.
[2021-12-26 11:03:16][notice]Start processing db.
[2021-12-26 11:03:16][notice]Prepare to copy database.
[2021-12-26 11:03:16][notice]Copying wp_mailpoet_dynamic_segment_filters is completed.
[2021-12-26 11:03:20][notice]Start processing db.
[2021-12-26 11:03:20][notice]Prepare to copy database.
[2021-12-26 11:03:20][notice]Copying wp_mailpoet_feature_flags is completed.
[2021-12-26 11:03:24][notice]Start processing db.
[2021-12-26 11:03:24][notice]Prepare to copy database.
[2021-12-26 11:03:24][notice]Copying wp_mailpoet_forms is completed.
[2021-12-26 11:03:29][notice]Start processing db.
[2021-12-26 11:03:29][notice]Prepare to copy database.
[2021-12-26 11:03:29][notice]Copying wp_mailpoet_log is completed.
[2021-12-26 11:03:32][notice]Start processing db.
[2021-12-26 11:03:32][notice]Prepare to copy database.
[2021-12-26 11:03:32][notice]Copying wp_mailpoet_mapping_to_external_entities is completed.
[2021-12-26 11:03:36][notice]Start processing db.
[2021-12-26 11:03:36][notice]Prepare to copy database.
[2021-12-26 11:03:36][notice]Copying wp_mailpoet_newsletter_links is completed.
[2021-12-26 11:03:41][notice]Start processing db.
[2021-12-26 11:03:41][notice]Prepare to copy database.
[2021-12-26 11:03:41][notice]Copying wp_mailpoet_newsletter_option is completed.
[2021-12-26 11:03:44][notice]Start processing db.
[2021-12-26 11:03:44][notice]Prepare to copy database.
[2021-12-26 11:03:44][notice]Copying wp_mailpoet_newsletter_option_fields is completed.
[2021-12-26 11:03:48][notice]Start processing db.
[2021-12-26 11:03:48][notice]Prepare to copy database.
[2021-12-26 11:03:48][notice]Copying wp_mailpoet_newsletter_posts is completed.
[2021-12-26 11:03:52][notice]Start processing db.
[2021-12-26 11:03:52][notice]Prepare to copy database.
[2021-12-26 11:03:52][notice]Copying wp_mailpoet_newsletter_segment is completed.
[2021-12-26 11:03:56][notice]Start processing db.
[2021-12-26 11:03:56][notice]Prepare to copy database.
[2021-12-26 11:03:56][notice]Copying wp_mailpoet_newsletter_templates is completed.
[2021-12-26 11:04:00][notice]Start processing db.
[2021-12-26 11:04:00][notice]Prepare to copy database.
[2021-12-26 11:04:00][notice]Copying wp_mailpoet_newsletters is completed.
[2021-12-26 11:04:04][notice]Start processing db.
[2021-12-26 11:04:04][notice]Prepare to copy database.
[2021-12-26 11:04:04][notice]Copying wp_mailpoet_scheduled_task_subscribers is completed.
