Log created: 2022-01-14 12:12:23
Type: staging
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":30000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":40000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":50000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":60000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":70000,"finished":0}
[2022-01-14 12:21:35][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:35][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":80000,"finished":0}
[2022-01-14 12:21:35][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:35][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":90000,"finished":0}
[2022-01-14 12:21:35][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:35][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":100000,"finished":0}
[2022-01-14 12:21:35][notice]Copying wp_avc_page_visit_history is completed.
[2022-01-14 12:21:38][notice]Start processing db.
[2022-01-14 12:21:38][notice]Prepare to copy database.
[2022-01-14 12:21:38][notice]Copying wp_chaty_contact_form_leads is completed.
[2022-01-14 12:21:42][notice]Start processing db.
[2022-01-14 12:21:42][notice]Prepare to copy database.
[2022-01-14 12:21:42][notice]Copying wp_commentmeta is completed.
[2022-01-14 12:21:45][notice]Start processing db.
[2022-01-14 12:21:45][notice]Prepare to copy database.
[2022-01-14 12:21:45][notice]Copying wp_comments is completed.
[2022-01-14 12:21:48][notice]Start processing db.
[2022-01-14 12:21:48][notice]Prepare to copy database.
[2022-01-14 12:21:48][notice]Copying wp_dokan_announcement is completed.
[2022-01-14 12:21:51][notice]Start processing db.
[2022-01-14 12:21:51][notice]Prepare to copy database.
[2022-01-14 12:21:51][notice]Copying wp_dokan_delivery_time is completed.
[2022-01-14 12:21:55][notice]Start processing db.
[2022-01-14 12:21:55][notice]Prepare to copy database.
[2022-01-14 12:21:55][notice]Copying wp_dokan_distance_rate_shipping is completed.
[2022-01-14 12:21:59][notice]Start processing db.
[2022-01-14 12:21:59][notice]Prepare to copy database.
[2022-01-14 12:21:59][notice]Copying wp_dokan_follow_store_followers is completed.
[2022-01-14 12:22:04][notice]Start processing db.
[2022-01-14 12:22:04][notice]Prepare to copy database.
[2022-01-14 12:22:04][notice]Copying wp_dokan_orders is completed.
[2022-01-14 12:22:07][notice]Start processing db.
[2022-01-14 12:22:07][notice]Prepare to copy database.
[2022-01-14 12:22:07][notice]Copying wp_dokan_product_map is completed.
[2022-01-14 12:22:11][notice]Start processing db.
[2022-01-14 12:22:11][notice]Prepare to copy database.
[2022-01-14 12:22:11][notice]Copying wp_dokan_refund is completed.
[2022-01-14 12:22:14][notice]Start processing db.
[2022-01-14 12:22:14][notice]Prepare to copy database.
[2022-01-14 12:22:14][notice]Copying wp_dokan_report_abuse_reports is completed.
[2022-01-14 12:22:17][notice]Start processing db.
[2022-01-14 12:22:17][notice]Prepare to copy database.
[2022-01-14 12:22:17][notice]Copying wp_dokan_rma_conversations is completed.
[2022-01-14 12:22:20][notice]Start processing db.
[2022-01-14 12:22:20][notice]Prepare to copy database.
[2022-01-14 12:22:20][notice]Copying wp_dokan_rma_request is completed.
[2022-01-14 12:22:23][notice]Start processing db.
[2022-01-14 12:22:23][notice]Prepare to copy database.
[2022-01-14 12:22:24][notice]Copying wp_dokan_rma_request_product is completed.
[2022-01-14 12:22:27][notice]Start processing db.
[2022-01-14 12:22:27][notice]Prepare to copy database.
[2022-01-14 12:22:27][notice]Copying wp_dokan_shipping_tracking is completed.
[2022-01-14 12:22:30][notice]Start processing db.
[2022-01-14 12:22:30][notice]Prepare to copy database.
[2022-01-14 12:22:30][notice]Copying wp_dokan_shipping_zone_locations is completed.
[2022-01-14 12:22:33][notice]Start processing db.
[2022-01-14 12:22:33][notice]Prepare to copy database.
[2022-01-14 12:22:33][notice]Copying wp_dokan_shipping_zone_methods is completed.
[2022-01-14 12:22:36][notice]Start processing db.
[2022-01-14 12:22:36][notice]Prepare to copy database.
[2022-01-14 12:22:36][notice]Copying wp_dokan_table_rate_shipping is completed.
[2022-01-14 12:22:39][notice]Start processing db.
[2022-01-14 12:22:39][notice]Prepare to copy database.
[2022-01-14 12:22:39][notice]Copying wp_dokan_vendor_balance is completed.
[2022-01-14 12:22:43][notice]Start processing db.
[2022-01-14 12:22:43][notice]Prepare to copy database.
[2022-01-14 12:22:43][notice]Copying wp_dokan_withdraw is completed.
[2022-01-14 12:22:47][notice]Start processing db.
[2022-01-14 12:22:47][notice]Prepare to copy database.
[2022-01-14 12:22:47][notice]Copying wp_duplicator_packages is completed.
[2022-01-14 12:22:50][notice]Start processing db.
[2022-01-14 12:22:50][notice]Prepare to copy database.
[2022-01-14 12:22:50][notice]Copying wp_gla_budget_recommendations is completed.
[2022-01-14 12:22:53][notice]Start processing db.
[2022-01-14 12:22:53][notice]Prepare to copy database.
[2022-01-14 12:22:54][notice]Copying wp_gla_merchant_issues is completed.
[2022-01-14 12:22:57][notice]Start processing db.
[2022-01-14 12:22:57][notice]Prepare to copy database.
[2022-01-14 12:22:57][notice]Copying wp_gla_shipping_rates is completed.
[2022-01-14 12:23:00][notice]Start processing db.
[2022-01-14 12:23:00][notice]Prepare to copy database.
[2022-01-14 12:23:00][notice]Copying wp_gla_shipping_times is completed.
[2022-01-14 12:23:03][notice]Start processing db.
[2022-01-14 12:23:03][notice]Prepare to copy database.
[2022-01-14 12:23:03][notice]Copying wp_import_detail_log is completed.
[2022-01-14 12:23:06][notice]Start processing db.
[2022-01-14 12:23:06][notice]Prepare to copy database.
